BrandName,ModelGroup,ModelDescription,kModelMasterID,ModelNum,MFGModelNum,Summed_Sales,PartMFG,kInventoryID,kManufactureID,PartNum,Description,LongDescription,PartType,MIN_ImageOrder,Has_Image,SubbedPartNumbers,competitornumbers,reqManufactureID,reqMfgModelNum
Frigidaire,Refrigerator,Refrigerator,75326,FRS26KF6EB6                   ,,17571,Frigidaire,1526398,4,241684001         ,Front Plate,,Bracket or Flange,1.0,1,"5304404347,7241684001,PS2335100,EAP2335100,FIX2335100,FRG2335100,PS470752,EAP470752,FIX470752,FRG470752,","PS1526398,EAP1526398,FIX1526398,,FRG1526398,AP3959102",0,0
Husqvarna,Lawn Tractor,Lawn Tractor,1187344,GTH2548XP,"(GTH2548XPB,954567895)(2003-05)",18549,Husqvarna,9015529,126,532183910,"Dash, Plastic",,,,0,,"PS9015529,EAP9015529,FIX9015529,",0,1
Echo,Trimmer,Trimmer,730484,SRM-210U,10001001 - 10001300,16346,Echo,9151093,127,89512220960,Open End Wrench,,,,0,,"PS9151093,EAP9151093,FIX9151093,",0,1
Norge,Dryer,Dryer,870744,8440A,REV A,17315,Whirlpool,2162263,3,LA-1003,Door Catch Kit,This kit comes in two pieces: the catch and the clip.,Latch,1.0,1,"14205029,14205577,14210022,236876,236877,241282,241286,261847,263067,279280,279337,279469,279570,291949,3-4578,304578,33001174,3390239,3392538,3398175,347813,4165234,53-0187,53-0308N,53-0882,53-2364,54660,54661,690081,690082,693717,694343,696144,73-0033,73-0034,830751,834767,834813,834943,834944,FSP279570,LA1003,PS1179934,EAP1179934,FIX1179934,FRG1179934,PS1182158,EAP1182158,FIX1182158,FRG1182158,PS124131,EAP124131,FIX124131,FRG124131,PS124132,EAP124132,FIX124132,FRG124132,PS1295937,EAP1295937,FIX1295937,FRG1295937,PS1295960,EAP1295960,FIX1295960,FRG1295960,PS1317930,EAP1317930,FIX1317930,FRG1317930,PS1363559,EAP1363559,FIX1363559,FRG1363559,PS1396164,EAP1396164,FIX1396164,FRG1396164,PS1409579,EAP1409579,FIX1409579,FRG1409579,PS1514045,EAP1514045,FIX1514045,FRG1514045,PS177270,EAP177270,FIX177270,FRG177270,PS177318,EAP177318,FIX177318,FRG177318,PS198089,EAP198089,FIX198089,FRG198089,PS2047697,EAP2047697,FIX2047697,FRG2047697,PS2047736,EAP2047736,FIX2047736,FRG2047736,PS2047805,EAP2047805,FIX2047805,FRG2047805,PS2048222,EAP2048222,FIX2048222,FRG2048222,PS2050246,EAP2050246,FIX2050246,FRG2050246,PS2050247,EAP2050247,FIX2050247,FRG2050247,PS2079356,EAP2079356,FIX2079356,FRG2079356,PS2079357,EAP2079357,FIX2079357,FRG2079357,PS2162291,EAP2162291,FIX2162291,FRG2162291,PS2170959,EAP2170959,FIX2170959,FRG2170959,PS2177464,EAP2177464,FIX2177464,FRG2177464,PS2200302,EAP2200302,FIX2200302,FRG2200302,PS2228574,EAP2228574,FIX2228574,FRG2228574,PS2228575,EAP2228575,FIX2228575,FRG2228575,PS2228764,EAP2228764,FIX2228764,FRG2228764,PS2228766,EAP2228766,FIX2228766,FRG2228766,PS2229209,EAP2229209,FIX2229209,FRG2229209,PS2229225,EAP2229225,FIX2229225,FRG2229225,PS2229339,EAP2229339,FIX2229339,FRG2229339,PS2229345,EAP2229345,FIX2229345,FRG2229345,PS2229367,EAP2229367,FIX2229367,FRG2229367,PS2230075,EAP2230075,FIX2230075,FRG2230075,PS2236892,EAP2236892,FIX2236892,FRG2236892,PS2237064,EAP2237064,FIX2237064,FRG2237064,PS2237435,EAP2237435,FIX2237435,FRG2237435,PS2238765,EAP2238765,FIX2238765,FRG2238765,PS2244081,EAP2244081,FIX2244081,FRG2244081,PS2263564,EAP2263564,FIX2263564,FRG2263564,PS2263754,EAP2263754,FIX2263754,FRG2263754,PS2263809,EAP2263809,FIX2263809,FRG2263809,PS2283412,EAP2283412,FIX2283412,FRG2283412,PS2283923,EAP2283923,FIX2283923,FRG2283923,PS2283927,EAP2283927,FIX2283927,FRG2283927,PS2283933,EAP2283933,FIX2283933,FRG2283933,PS2283934,EAP2283934,FIX2283934,FRG2283934,PS2338268,EAP2338268,FIX2338268,FRG2338268,PS506311,EAP506311,FIX506311,FRG506311,PS73277,EAP73277,FIX73277,FRG73277,PS792606,EAP792606,FIX792606,FRG792606,PS95891,EAP95891,FIX95891,FRG95891,PS95934,EAP95934,FIX95934,FRG95934,PS96028,EAP96028,FIX96028,FRG96028,PS96553,EAP96553,FIX96553,FRG96553,PS97412,EAP97412,FIX97412,FRG97412,PS97413,EAP97413,FIX97413,FRG97413,R0601524,W10116745,Y304578,","PS2162263,EAP2162263,FIX2162263,LA1003,LA.1003,LA 1003,AP4242465",0,1
Husqvarna,Lawn Tractor,Lawn Tractor,1276042,GTH2548XP,(HAU25H48A)(2003-01),27403,Husqvarna,9286670,126,532175805,"Plate, Asm, Susp, Front",,,1.0,1,,"PS9286670,EAP9286670,FIX9286670,",0,1
Whirlpool,Refrigerator,Refrigerator,876470,GS6NHAXVQ04,,16522,Whirlpool,2327912,3,W10138965,Hinge Bottom,Sold individually.,Hinge,1.0,1,"PS2310145,EAP2310145,FIX2310145,FRG2310145,","PS2327912,EAP2327912,FIX2327912,AP4355742",0,0
Husqvarna,Lawn Tractor,Lawn Tractor,726069,1742C,LTH  954570376 -2003-02,17135,Husqvarna,9012535,126,532121748,Washer 25/32 x 1-5/8 x 16 Ga.,,,1.0,1,"PS16355842,EAP16355842,FIX16355842,FRG16355842,","PS9012535,EAP9012535,FIX9012535,",0,0
Husqvarna,Lawn Mower,Lawn Mower,729876,RZ5424-966691901,,19768,Husqvarna,8999646,126,521980501,"Decal, Height",,,1.0,1,,"PS8999646,EAP8999646,FIX8999646,",0,0
Frigidaire,Refrigerator,Refrigerator,182515,FRS26F5AQ6                    ,,17007,Frigidaire,1152251,4,5303918328        ,"Heat Exchanger Kit,suction line ,service",,,1.0,1,"5303918213,5303918218,75303918328,PS2336826,EAP2336826,FIX2336826,FRG2336826,PS469521,EAP469521,FIX469521,FRG469521,PS469526,EAP469526,FIX469526,FRG469526,","PS1152251,EAP1152251,FIX1152251,,FRG1152251,AP3887505",0,0
Echo,Pole Saw,Pole Saw,728912,PPT-266H,E04411001001-E04411999999,16376,Echo,9229041,127,P022008270,Spring-Damper,,,1.0,1,,"PS9229041,EAP9229041,FIX9229041,",0,1
